publish_date,weekday,week,slot,slot_job,brief_id,brief_file,output_file,research_file,working_h1,primary_query,cluster,content_type,status,researched_on,drafted_on,quality_passed_on,image_generated_on,reviewed_by,published_on,notes
2026-10-05,Mon,04,A,the money page,13,briefs/2026-10-05-cost-to-localize-a-campaign-for-china.md,output/cost-to-localize-a-campaign-for-china.md,research/cost-to-localize-a-campaign-for-china.md,What it costs to localize a global campaign for China,cost to localize a global campaign for China,Cost,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Most defensible query in the set. Hero 126KB. Examples deliberately do not total. 2 rate-card captures pending.
2026-10-06,Tue,04,B,the spec page,04,briefs/2026-10-06-jd-image-requirements-vs-tmall.md,output/jd-image-requirements-vs-tmall.md,research/jd-image-requirements-vs-tmall.md,"JD image requirements, and the twelve places they differ from Tmall",jd.com product image requirements,China specs,Spec page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Modal-value method per deviation 7. Not primary. Hero. H1 changed from twelve differences to one, on the evidence. First article in category Platform specs."
2026-10-08,Thu,04,C,the operations page,25,briefs/2026-10-08-content-credentials-c2pa-in-production.md,output/content-credentials-c2pa-in-production.md,research/content-credentials-c2pa-in-production.md,Content Credentials in a real pipeline: where C2PA survives and where it breaks,c2pa content credentials for brands,Rights,Operations page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"Hero. Brief asked for a tested survival table; no public test exists, so the piece publishes the absence and a bench test protocol instead."
2026-10-09,Fri,04,D,the proof page,30,briefs/2026-10-09-singles-day-618-production-calendar.md,output/singles-day-618-production-calendar.md,research/singles-day-618-production-calendar.md,"The 11.11 and 618 production calendar, counted backwards",singles day 618 content production timeline,Craft,Proof page,not_started,,,,,,,
2026-10-12,Mon,05,A,the money page,19,briefs/2026-10-12-china-or-india-for-creative-production.md,output/china-or-india-for-creative-production.md,research/china-or-india-for-creative-production.md,China or India for creative production: an honest comparison,china vs india offshore creative production,Buying models,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Hero 64KB. Added talent-scale section using the unused China MOE citation. Cut an unsupported graduate-output comparison in the quality pass.
2026-10-13,Tue,05,B,the spec page,07,briefs/2026-10-13-rednote-note-cover-specs.md,output/rednote-note-cover-specs.md,research/rednote-note-cover-specs.md,"RedNote note and cover specs, verified against the live app",xiaohongshu image size note cover dimensions,China specs,Spec page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Modal-value method per deviation 7. Not primary. Hero. H1 and meta changed: the brief claimed live-app verification, none was done."
2026-10-15,Thu,05,C,the operations page,22,briefs/2026-10-15-questions-to-ask-ai-production-partner.md,output/questions-to-ask-ai-production-partner.md,research/questions-to-ask-ai-production-partner.md,Twelve questions to ask an AI-native production partner,how to evaluate an AI content production partner,Buying models,Operations page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Hero. Added a labels-vs-disclosure table in the quality pass. Answers the white-label question against interest.
2026-10-16,Fri,05,D,the proof page,29,briefs/2026-10-16-training-a-brand-model-that-stays-on-brand.md,output/training-a-brand-model-that-stays-on-brand.md,research/training-a-brand-model-that-stays-on-brand.md,Training a brand model that stays on brand: 22 percent to 78 percent,custom brand model training aigc approval rate,Craft,Proof page,not_started,,,,,,,Needs the internal approval-rate method written down and cleared before drafting. Start in week 3.
2026-10-19,Mon,06,A,the money page,12,briefs/2026-10-19-product-photography-cost-per-sku.md,output/product-photography-cost-per-sku.md,research/product-photography-cost-per-sku.md,"Product photography cost per SKU, from 50 SKUs to 5,000",how much does ecommerce product photography cost per SKU,Cost,Money page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Hero. Cut the brief's 70/30 movement claim, no sample. Repointed calculator link to the public estimator."
2026-10-20,Tue,06,B,the spec page,06,briefs/2026-10-20-douyin-ad-creative-specs-by-format.md,output/douyin-ad-creative-specs-by-format.md,research/douyin-ad-creative-specs-by-format.md,"Douyin ad creative specs by format: TopView, in-feed, open screen",douyin ad creative specs 2026,China specs,Spec page,researched,2026-09-10,,,,,,Modal-value method per deviation 7. Not primary.
2026-10-22,Thu,06,C,the operations page,21,briefs/2026-10-22-subscription-or-managed-production.md,output/subscription-or-managed-production.md,research/subscription-or-managed-production.md,Subscription or managed production: the unit you are buying,design subscription vs production partner,Buying models,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Hero 91KB. Fixed a 40x/21x arithmetic error in the quality pass. 6 pricing captures pending before publish.
2026-10-23,Fri,06,D,the proof page,31,"batch two, briefed in month two",output/amazon-tmall-jd-one-product-three-listings.md,research/amazon-tmall-jd-one-product-three-listings.md,"Amazon, Tmall, JD: one product, three listing builds",,China specs,,not_started,,,,,,,
2026-10-26,Mon,07,A,the money page,14,briefs/2026-10-26-all-in-cost-of-ai-video.md,output/all-in-cost-of-ai-video.md,research/all-in-cost-of-ai-video.md,"The all-in cost of AI video, and what the dollar-an-ad math leaves out",AI video production cost for brands,Cost,Money page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Hero. Retry rate published at both ratios, never averaged. No hubStudio selection rate: no sample."
2026-10-27,Tue,07,B,the spec page,08,briefs/2026-10-27-wechat-specs-articles-channels-mini-program.md,output/wechat-specs-articles-channels-mini-program.md,research/wechat-specs-articles-channels-mini-program.md,"WeChat specs in one place: articles, Channels, Mini Program",wechat official account article image size specs,China specs,Spec page,not_started,,,,,,,
2026-10-29,Thu,07,C,the operations page,20,briefs/2026-10-29-offshore-creative-production-china.md,output/offshore-creative-production-china.md,research/offshore-creative-production-china.md,Offshore creative production in China: what it means in 2026,offshore creative production china,Buying models,Operations page,not_started,,,,,,,
2026-10-30,Fri,07,D,the proof page,32,"batch two, briefed in month two",output/meta-tiktok-against-douyin-rednote.md,research/meta-tiktok-against-douyin-rednote.md,"Meta and TikTok against Douyin and RedNote: the same campaign, twice",,China specs,,not_started,,,,,,,
2026-11-02,Mon,08,A,the money page,15,briefs/2026-11-02-in-house-studio-vs-outsourced-production.md,output/in-house-studio-vs-outsourced-production.md,research/in-house-studio-vs-outsourced-production.md,In-house studio or outsourced production: the fully loaded model,in-house creative studio cost vs outsourcing,Cost,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Hero. Added a hiring-market section from unused cleared material. Utilization labeled an input 3x.
2026-11-03,Tue,08,B,the spec page,03,briefs/2026-11-03-tmall-flagship-store-decoration-specs.md,output/tmall-flagship-store-decoration-specs.md,research/tmall-flagship-store-decoration-specs.md,"Tmall flagship store decoration specs, module by module",tmall flagship store banner size specifications,China specs,Spec page,not_started,,,,,,,
2026-11-05,Thu,08,C,the operations page,16,briefs/2026-11-05-campaign-adaptation-cost-per-market.md,output/campaign-adaptation-cost-per-market.md,research/campaign-adaptation-cost-per-market.md,Campaign adaptation cost: pricing one master across N markets,campaign adaptation cost per market,Cost,Money page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Hero. Ladder attributed to the page, never the industry. No total on the worked example."
2026-11-06,Fri,08,D,the proof page,09,briefs/2026-11-06-weibo-image-video-specs.md,output/weibo-image-video-specs.md,research/weibo-image-video-specs.md,"Weibo image and video specs for brands, updated for 2026",weibo image and video specs,China specs,Spec page,not_started,,,,,,,
2026-11-09,Mon,09,A,the money page,33,"batch two, briefed in month two",output/real-cost-of-brand-content-2026.md,research/real-cost-of-brand-content-2026.md,"The Real Cost of Brand Content 2026: the benchmark, ungated",,Research,,not_started,,,,,,,
2026-11-10,Tue,09,B,the spec page,34,"batch two, briefed in month two",output/beauty-content-production-china.md,research/beauty-content-production-china.md,Beauty content production in China: the category playbook,,Playbook,,not_started,,,,,,,
2026-11-12,Thu,09,C,the operations page,35,"batch two, briefed in month two",output/agency-white-label-question.md,research/agency-white-label-question.md,"The agency white-label question: NDA, contact rules, margin per asset",,Buying models,,not_started,,,,,,,
2026-11-13,Fri,09,D,the proof page,36,"batch two, briefed in month two",output/how-many-variants-a-china-launch-needs.md,research/how-many-variants-a-china-launch-needs.md,How many variants a China launch actually needs,,Data,,not_started,,,,,,,
2026-11-16,Mon,10,A,the money page,37,"batch two, briefed in month two",output/procurement-guide-buying-ai-content-production.md,research/procurement-guide-buying-ai-content-production.md,Procurement's guide to buying AI content production,,Buying models,,not_started,,,,,,,
2026-11-17,Tue,10,B,the spec page,38,"batch two, briefed in month two",output/automotive-content-without-shipping-a-car.md,research/automotive-content-without-shipping-a-car.md,Automotive content without shipping a car,,Playbook,,not_started,,,,,,,
2026-11-19,Thu,10,C,the operations page,39,"batch two, briefed in month two",output/turnaround-days-not-weeks.md,research/turnaround-days-not-weeks.md,"Turnaround: what days not weeks means, stage by stage",,Operations,,not_started,,,,,,,
2026-11-20,Fri,10,D,the proof page,40,"batch two, briefed in month two",output/the-2026-model-roster.md,research/the-2026-model-roster.md,The 2026 model roster: which model for which asset,,Craft,,not_started,,,,,,,
2026-11-23,Mon,11,A,the money page,41,"batch two, briefed in month two",output/what-a-48-hour-binding-proposal-contains.md,research/what-a-48-hour-binding-proposal-contains.md,What a 48-hour binding proposal contains,,Operations,,not_started,,,,,,,
2026-11-24,Tue,11,B,the spec page,42,"batch two, briefed in month two",output/consumer-electronics-launch-content.md,research/consumer-electronics-launch-content.md,Consumer electronics launch content: the six-week build,,Playbook,,not_started,,,,,,,
2026-11-26,Thu,11,C,the operations page,43,"batch two, briefed in month two",output/lip-sync-across-47-languages.md,research/lip-sync-across-47-languages.md,Lip sync across 47 languages: what breaks and what it costs,,Craft,,not_started,,,,,,,
2026-11-27,Fri,11,D,the proof page,44,"batch two, briefed in month two",output/transcreation-as-a-production-line.md,research/transcreation-as-a-production-line.md,"Transcreation as a production line, not a translation service",,Operations,,not_started,,,,,,,
2026-11-30,Mon,12,A,the money page,45,"batch two, briefed in month two",output/digital-humans-in-china.md,research/digital-humans-in-china.md,"Digital humans in China: build cost, run cost, labeling duties",,Cost,,not_started,,,,,,,
2026-12-01,Tue,12,B,the spec page,46,"batch two, briefed in month two",output/running-a-tmall-flagship-content.md,research/running-a-tmall-flagship-content.md,"Running a Tmall flagship's content, month by month",,Playbook,,not_started,,,,,,,
2026-12-03,Thu,12,C,the operations page,47,"batch two, briefed in month two",output/retouch-at-volume-qa-pipeline.md,research/retouch-at-volume-qa-pipeline.md,Retouch at volume: the QA pipeline behind a 78 percent approval rate,,Operations,,not_started,,,,,,,
2026-12-04,Fri,12,D,the proof page,48,"batch two, briefed in month two",output/hisense-rebuilt-self-serve-platform.md,research/hisense-rebuilt-self-serve-platform.md,HiSense rebuilt: eight weeks to a self-serve content platform,,Proof,,not_started,,,,,,,
